ISSN,Journal_Name,Publisher,JIF,Quartile
1936-7031,Journal of Contemporary Water Research & Ed,WILEY,1.2,Q4
1936-7228,ACM Transactions on Accessible Computing,ASSOC COMPUTING M,3.5,Q2
1936-7406,ACM Transactions on Reconfigurable Technolo,ASSOC COMPUTING M,2.8,Q2
1936-8623,Journal of Hospitality Marketing & Manageme,ROUTLEDGE JOURNALS,11,Q1
1936-878X,JACC-Cardiovascular Imaging,ELSEVIER SCIENCE INC,15.2,Q1
1936-8798,JACC-Cardiovascular Interventions,ELSEVIER SCIENCE INC,11.4,Q1
1936-900X,Western Journal of Emergency Medicine,WESTJEM,2,Q2
1936-9735,Operations Management Research,SPRINGER,5.3,Q1
1936-9751,Food Analytical Methods,SPRINGER,3,Q2
1936-9816,Museum History Journal,ROUTLEDGE JOURNALS,0.2,Q2
1937-0229,Theory in Action,TRANSFORMATIVE STU,0.1,Q4
1937-0652,Algebra & Number Theory,MATHEMATICAL SCIEN,1,Q2
1937-1209,International Journal of Cognitive Therapy,SPRINGER INT PUBL AG,1.4,Q3
1937-1632,Discrete and Continuous Dynamical Systems-Se,AMER INST MATHEMA,1,Q3
1937-1888,Journal of Studies on Alcohol and Drugs,ALCOHOL RES DOCUM,2.2,Q2
1937-1918,Social Work in Public Health,ROUTLEDGE JOURNALS,1.4,Q2
1937-321X,Journal of Neuroscience Psychology and Econo,EDUCATIONAL PUBLISH,0.9,Q3
1937-3333,IEEE Reviews in Biomedical Engineering,IEEE-INST ELECTRICAL E,12,Q1
1937-3341,Tissue Engineering Part A,"MARY ANN LIEBERT, IN",2.9,Q3
1937-3368,Tissue Engineering Part B-Reviews,"MARY ANN LIEBERT, IN",4.6,Q2
1937-3384,Tissue Engineering Part C-Methods,"MARY ANN LIEBERT, IN",2.6,Q3
1937-4585,International Journal of Feminist Approaches T,UNIV TORONTO PRESS,0.3,Q4
1937-5093,Kinetic and Related Models,AMER INST MATHEMA,1.5,Q1
1937-5387,Journal of Cardiovascular Translational Researc,SPRINGER,2.5,Q2
1937-5867,HERD-Health Environments Research & Design,SAGE PUBLICATIONS IN,1.8,Q3
1937-6529,Journal of Radio & Audio Media,ROUTLEDGE JOURNALS,1.2,Q3
1937-6812,African Geographical Review,ROUTLEDGE JOURNALS,1.1,Q3
1937-8629,Engineering Studies,ROUTLEDGE JOURNALS,1.3,Q1
1937-8912,Semantics & Pragmatics,LINGUISTIC SOC AMER,1.4,Q2
1937-9633,International Journal of E-Adoption,IGI GLOBAL,0.6,Q3
1938-0232,International Journal of Information Technolog,IGI GLOBAL,0.3,Q4
1938-0259,International Journal of Grid and High Perform,IGI GLOBAL,0.6,Q4
1938-0283,University of Pennsylvania Journal of Internatio,UNIV PENN LAW SCH,0.5,Q3
1938-0399,American Journal of Play,STRONG,0.5,Q3
1938-2014,Islets,TAYLOR & FRANCIS INC,1.7,Q4
1938-6362,International Journal of Geotechnical Engineeri,TAYLOR & FRANCIS LTD,1.3,Q3
1938-6400,Foot & Ankle Specialist,SAGE PUBLICATIONS IN,2.1,Q2
1938-6974,Sport Management Education Journal,HUMAN KINETICS PUBL,1.1,Q3
1938-7741,Journal of Transportation Security,SPRINGER,1.6,Q4
1938-7849,Journal of Transport and Land Use,"UNIV MINNESOTA, CEN",2.2,Q3
1938-7857,Journal of Information Technology Research,IGI GLOBAL,0.5,Q4
1938-8071,Literacy Research and Instruction,ROUTLEDGE JOURNALS,1.1,Q3
1938-8160,Journal of China Tourism Research,ROUTLEDGE JOURNALS,2,Q2
1938-8209,Girlhood Studies-An Interdisciplinary Journal,BERGHAHN JOURNALS,0.6,Q3
1938-8926,Journal of Diversity in Higher Education,EDUCATIONAL PUBLISH,2.4,Q1
1938-9655,Cornell Hospitality Quarterly,SAGE PUBLICATIONS IN,3,Q1
1938-971X,Psychological Injury & Law,SPRINGER,2.3,Q2
1938-9736,Topics in Companion Animal Medicine,W B SAUNDERS CO-ELS,1.3,Q2
1939-0068,Wiley Interdisciplinary Reviews-Computational,WILEY,5.4,Q1
1939-0211,Journal of Dietary Supplements,TAYLOR & FRANCIS LTD,2.3,Q3
1939-0807,Journal of Commutative Algebra,ROCKY MT MATH CON,0.6,Q3
1939-1234,BioEnergy Research,SPRINGER,3,Q3
1939-1374,IEEE Transactions on Services Computing,IEEE COMPUTER SOC,5.8,Q1
1939-1382,IEEE Transactions on Learning Technologies,IEEE COMPUTER SOC,4.9,Q1
1939-1390,IEEE Intelligent Transportation Systems Magazi,IEEE-INST ELECTRICAL E,5,Q1
1939-1404,IEEE Journal of Selected Topics in Applied Earth,IEEE-INST ELECTRICAL E,5.3,Q1
1939-1412,IEEE Transactions on Haptics,IEEE COMPUTER SOC,2.8,Q2
1939-1811,Historical Studies in the Natural Sciences,UNIV CALIFORNIA PRES,0.3,Q4
1939-2206,African Security,ROUTLEDGE JOURNALS,1.3,Q2
1939-2397,Celebrity Studies,ROUTLEDGE JOURNALS,0.9,Q2
1939-2699,International Journal of Coal Preparation and U,TAYLOR & FRANCIS INC,2.1,Q2
1939-3210,Food Additives & Contaminants Part B-Surveill,TAYLOR & FRANCIS LTD,2.5,Q2
1939-3555,Information Security Journal,TAYLOR & FRANCIS INC,1.4,Q3
1939-3792,Autism Research,WILEY,5.6,Q1
1939-4071,Environmental Justice,"MARY ANN LIEBERT, IN",1.3,Q4
1939-4551,World Allergy Organization Journal,ELSEVIER,4.3,Q2
1939-5078,Wiley Interdisciplinary Reviews-Cognitive Scien,WILEY,3.8,Q1
1939-5981,International Journal of Metalcasting,SPRINGER INT PUBL AG,2.5,Q2
1939-6368,Systems Biology in Reproductive Medicine,TAYLOR & FRANCIS INC,2.2,Q2
1939-7038,International Journal of Sustainable Engineerin,TAYLOR & FRANCIS LTD,3.6,Q3
1939-7291,Invasive Plant Science and Management,CAMBRIDGE UNIV PRES,1.2,Q3
1939-7909,Journal of Spiritual Formation and Soul Care,SAGE PUBLICATIONS LT,0.3,
1939-8018,Journal of Signal Processing Systems for Signal,SPRINGER,1.8,Q3
1939-8425,Rice,SPRINGER,5,Q1
1939-8654,Journal of Medical Imaging and Radiation Scien,ELSEVIER SCIENCE INC,2,Q3
1940-0640,Addiction Science & Clinical Practice,BMC,3.2,Q1
1940-0829,Tropical Conservation Science,SAGE PUBLICATIONS IN,1.6,Q3
1940-087X,Jove-Journal of Visualized Experiments,JOURNAL OF VISUALIZE,1,Q3
1940-1493,Journal of Building Performance Simulation,TAYLOR & FRANCIS LTD,2.3,Q2
1940-1612,International Journal of Press-Politics,SAGE PUBLICATIONS IN,4.3,Q1
1940-3151,Journal of Aerospace Information Systems,AMER INST AERONAUT,1.5,Q3
1940-4158,Australian Journal of Learning Difficulties,ROUTLEDGE JOURNALS,1.6,Q1
1940-4921,Research in Gerontological Nursing,SLACK INC,1.6,Q2
1940-5901,International Journal of Clinical and Experimen,E-CENTURY PUBLISHIN,0.3,Q4
1940-5979,Review of Behavioral Finance,EMERALD GROUP PUBL,1.8,Q3
1940-6207,Cancer Prevention Research,AMER ASSOC CANCER,2.6,Q3
1940-6940,International Journal of Sport Policy and Politic,ROUTLEDGE JOURNALS,2.8,Q2
1940-7041,Current Orthopaedic Practice,LIPPINCOTT WILLIAMS,0.3,Q4
1940-7963,Journal of Policy Research in Tourism Leisure a,ROUTLEDGE JOURNALS,2,Q2
1941-0832,Radical Teacher,"UNIV PITTSBURGH, UN",0.2,Q4
1941-1022,Psychology of Religion and Spirituality,EDUCATIONAL PUBLISH,2.2,Q2
1941-1243,Journal of Occupational Therapy Schools and E,ROUTLEDGE JOURNALS,1.1,Q4
1941-1340,Annual Review of Resource Economics,ANNUAL REVIEWS,8.4,Q1
1941-1367,Annual Review of Financial Economics,ANNUAL REVIEWS,5.2,Q1
1941-1383,Annual Review of Economics,ANNUAL REVIEWS,11.4,Q1
1941-1405,Annual Review of Marine Science,ANNUAL REVIEWS,18.9,Q1
1941-1413,Annual Review of Food Science and Technolog,ANNUAL REVIEWS,12.4,Q1
1941-2711,Journal of Aerosol Medicine and Pulmonary Dr,"MARY ANN LIEBERT, IN",1.8,Q3
1941-3149,Circulation-Arrhythmia and Electrophysiology,LIPPINCOTT WILLIAMS,9.8,Q1
1941-3289,Circulation-Heart Failure,LIPPINCOTT WILLIAMS,8.4,Q1
1941-4889,Journal of Geometric Mechanics,AMER INST MATHEMA,1,Q3
1941-5257,Professional Development in Education,ROUTLEDGE JOURNALS,3.1,Q1
1941-6210,International Journal of Digital Crime and Fore,IGI GLOBAL,1,Q4
1941-6520,Academy of Management Annals,ACAD MANAGEMENT,16.5,Q1
1941-6628,Journal of Gastrointestinal Cancer,SPRINGER,1.6,Q4
1941-7012,Journal of Renewable and Sustainable Energy,AIP Publishing,1.9,Q4
1941-7381,Sports Health-A Multidisciplinary Approach,SAGE PUBLICATIONS IN,2.6,Q2
1941-7640,Circulation-Cardiovascular Interventions,LIPPINCOTT WILLIAMS,7.4,Q1
1941-7705,Circulation-Cardiovascular Quality and Outcom,LIPPINCOTT WILLIAMS,6.7,Q1
1941-8264,Lithosphere,GEOSCIENCEWORLD,1.7,Q2
1941-8647,International Journal of Mobile and Blended Le,IGI GLOBAL,1,Q3
1941-9651,Circulation-Cardiovascular Imaging,LIPPINCOTT WILLIAMS,7,Q1
1942-0676,Journal of Social Entrepreneurship,ROUTLEDGE JOURNALS,1.8,Q3
1942-0862,mAbs,TAYLOR & FRANCIS INC,7.3,Q1
1942-2539,International Studies in Catholic Education,ROUTLEDGE JOURNALS,0.5,
1942-2962,American Health and Drug Benefits,ENGAGE HEALTHCARE,1.5,Q3
1942-390X,International Journal of Mobile Human Compu,IGI GLOBAL,0.2,Q4
1942-4280,Footwear Science,ROUTLEDGE JOURNALS,3.8,Q1
1942-4302,Journal of Mechanisms and Robotics-Transacti,ASME,3.2,Q2
1942-4558,Ecumenica-Performance and Religion,PENN STATE UNIV PRES,0.1,
1942-4787,Wiley Interdisciplinary Reviews-Data Mining an,"WILEY PERIODICALS, IN",11.7,Q1
1942-5120,Marine and Coastal Fisheries,OXFORD UNIV PRESS,1.8,Q2
1942-7603,Drug Testing and Analysis,WILEY,2.7,Q2
1942-7751,Journal of Research on Leadership Education,SAGE PUBLICATIONS IN,1.6,Q2
1942-7867,Transportation Letters-The International Journ,TAYLOR & FRANCIS LTD,3.3,Q2
1942-7891,Population Health Management,"MARY ANN LIEBERT, IN",2.1,Q3
1942-9045,International Journal of Software Science and C,IGI GLOBAL,3.4,Q2
1942-9347,Ecopsychology,"MARY ANN LIEBERT, IN",2.5,Q2
1942-9533,Electronics and Communications in Japan,WILEY,0.4,Q4
1942-9681,Psychological Trauma-Theory Research Practic,EDUCATIONAL PUBLISH,2.3,Q2
1943-0620,Journal of Optical Communications and Netwo,Optica Publishing Grou,4.3,Q1
1943-0655,IEEE Photonics Journal,IEEE-INST ELECTRICAL E,2.4,Q3
1943-0663,IEEE Embedded Systems Letters,IEEE-INST ELECTRICAL E,2,Q3
1943-0779,Asian Politics & Policy,WILEY,0.9,Q3
1943-3875,Craniomaxillofacial Trauma & Reconstruction,MDPI,0.4,Q4
1943-3921,Attention Perception & Psychophysics,SPRINGER,1.7,Q3
1943-4162,Journal of Legal Affairs and Dispute Resolution,ASCE-AMER SOC CIVIL,1.5,Q1
1943-4472,Behavioral Sciences of Terrorism and Political A,ROUTLEDGE JOURNALS,1.4,Q2
1943-6149,Middle East Critique,ROUTLEDGE JOURNALS,1.5,Q1
1943-7536,Pacific Asia Journal of the Association for Infor,ASSOC INFORMATION,3.3,Q1
1943-8141,American Journal of Translational Research,E-CENTURY PUBLISHIN,1.6,Q3
1943-815X,Journal of Integrative Environmental Sciences,TAYLOR & FRANCIS LTD,3.5,Q2
1943-8192,South Asian Diaspora,ROUTLEDGE JOURNALS,0.9,Q2
1943-8206,Advances in Optics and Photonics,Optica Publishing Grou,23.8,Q1
1943-9342,Journal of Development Effectiveness,ROUTLEDGE JOURNALS,0.5,Q4
1943-9938,ASIANetwork Exchange-A Journal for Asian Stu,OPEN LIBRARY HUMAN,0.1,
1943-9962,Journal of Transportation Safety & Security,TAYLOR & FRANCIS INC,2.6,Q3
1944-0049,Food Additives and Contaminants Part A-Chem,TAYLOR & FRANCIS LTD,2.2,Q3
1944-2866,Policy and Internet,WILEY,3.6,Q1
1944-2904,Ethnoarchaeology,ROUTLEDGE JOURNALS,1.3,
1944-3927,Theatre Dance and Performance Training,ROUTLEDGE JOURNALS,0.3,
1944-3994,Desalination and Water Treatment,ELSEVIER SCIENCE INC,1,Q4
1944-4079,Risk Hazards & Crisis in Public Policy,WILEY,2,Q3
1944-4176,"Involve, a journal of mathematics",MATHEMATICAL SCIEN,0.2,Q4
1944-5660,Foundation Review,Dorothy A Johnson Cen,0.3,Q4
1944-6586,Journal of Bronchology & Interventional Pulmo,LIPPINCOTT WILLIAMS,3.2,Q2
1944-7442,Environmental Progress & Sustainable Energy,WILEY,2.3,Q3
1944-7515,AJIDD-American Journal on Intellectual and De,AMER ASSOC INTELLEC,2,Q1
1944-8244,ACS Applied Materials & Interfaces,AMER CHEMICAL SOC,8.2,Q1
1944-8740,Getty Research Journal,Getty Research Inst,0.1,
1944-8953,Journal of Balkan and Near Eastern Studies,ROUTLEDGE JOURNALS,1.1,Q1
1944-897X,Literary Journalism Studies,INT ASSOC LITERARY JO,0.1,
1945-0265,Genetic Testing and Molecular Biomarkers,"MARY ANN LIEBERT, IN",1,Q4
1945-0877,Science Signaling,AMER ASSOC ADVANCE,6.6,Q1
1945-2020,International Journal of Telerehabilitation,"UNIV PITTSBURGH, UN",2.1,Q2
1945-2829,Journal of Human Development and Capabilitie,ROUTLEDGE JOURNALS,1.3,Q3
1945-497X,SIAM Journal on Financial Mathematics,SIAM PUBLICATIONS,1.8,Q2
1945-5224,Journal of the Institute of Conservation,ROUTLEDGE JOURNALS,1,
1945-760X,Journal of the Dermatology Nurses Association,LIPPINCOTT WILLIAMS,0.2,Q4
1945-7669,American Economic Journal-Microeconomics,AMER ECONOMIC ASSO,2.1,Q2
1945-7707,American Economic Journal-Macroeconomics,AMER ECONOMIC ASSO,5.7,Q1
1945-7731,American Economic Journal-Economic Policy,AMER ECONOMIC ASSO,5.3,Q1
1945-7782,American Economic Journal-Applied Economic,AMER ECONOMIC ASSO,6.2,Q1
1945-8924,American Journal of Rhinology & Allergy,SAGE PUBLICATIONS IN,2.3,Q1
1946-0171,Critical Policy Studies,ROUTLEDGE JOURNALS,2.4,Q1
1946-2166,Argument & Computation,IOS PRESS,1,Q4
1946-3014,Classroom Discourse,ROUTLEDGE JOURNALS,1.6,Q2
1946-3138,International Journal of Urban Sustainable Dev,TAYLOR & FRANCIS LTD,2.4,Q3
1946-391X,SAE International Journal of Commercial Vehicl,SAE INT,0.6,Q4
1946-3936,SAE International Journal of Engines,SAE INT,1.2,Q4
1946-6226,ACM Transactions on Computing Education,ASSOC COMPUTING M,3.8,Q1
1946-6234,Science Translational Medicine,AMER ASSOC ADVANCE,14.6,Q1
1946-6315,Statistics in Biopharmaceutical Research,TAYLOR & FRANCIS INC,1.3,Q2
1946-6560,Partner Abuse,SPRINGER PUBLISHING,1.1,Q3
1946-7664,Mathematical and Computational Forestry & N,UNIV GEORGIA,0.5,Q4
1947-2498,South Asian History and Culture,ROUTLEDGE JOURNALS,0.3,
1947-315X,International Journal of E-Health and Medical C,IGI GLOBAL,1.7,Q4
1947-3192,International Journal of Agricultural and Enviro,IGI GLOBAL,0.4,Q4
1947-3435,International Journal of Cyber Warfare and Ter,IGI GLOBAL,0.1,Q4
1947-3451,International Journal of Technoethics,IGI GLOBAL,0.3,Q4
1947-3478,International Journal of Human Capital and Inf,IGI GLOBAL,1.7,Q3
1947-3532,International Journal of Distributed Systems an,IGI GLOBAL,0.6,Q4
1947-4644,Poe Studies-History Theory Interpretation,JOHNS HOPKINS UNIV,0.1,
1947-5136,Entomologica Americana,NEW YORK ENTOMOLO,0.5,Q4
1947-5411,International Journal of Smart and Nano Mater,TAYLOR & FRANCIS LTD,6.6,Q1
1947-5438,Annual Review of Chemical and Biomolecular E,ANNUAL REVIEWS,12.8,Q1
1947-5535,Biopreservation and Biobanking,"MARY ANN LIEBERT, IN",1.4,Q3
1947-5578,Berkeley Review of Education,"UNIV CALIFORNIA, ESC",0.5,Q4
1947-5683,Annals of GIS,TAYLOR & FRANCIS LTD,3.3,Q1
1947-5705,Geomatics Natural Hazards & Risk,TAYLOR & FRANCIS LTD,4.6,Q1
1947-6035,Cartilage,SAGE PUBLICATIONS IN,2.7,Q2
1947-6337,CyTA-Journal of Food,TAYLOR & FRANCIS LTD,1.7,Q3
1947-6566,Journal of Medieval Religious Cultures,PENN STATE UNIV PRES,0.1,
1947-6574,Journal of Modern Periodical Studies,PENN STATE UNIV PRES,0.1,
1947-7988,Journal of Photonics for Energy,SPIE-SOC PHOTO-OPTIC,2.1,Q3
1947-8186,International Journal of Information System M,IGI GLOBAL,0.6,Q4
1947-8208,International Journal of Knowledge and System,IGI GLOBAL,0.6,Q4
1947-8534,International Journal of Multimedia Data Engin,IGI GLOBAL,0.5,Q4
1947-9638,International Journal of Asian Business and Info,IGI GLOBAL,1.1,Q4
1947-9654,International Journal of Applied Geospatial Res,IGI GLOBAL,0.3,Q4
1947-9832,International Journal of Image and Data Fusion,TAYLOR & FRANCIS LTD,1.3,Q4
1947-9956,Journal of Modern Russian History and Historio,BRILL,0.2,Q2
1948-0210,World Journal of Stem Cells,BAISHIDENG PUBLISHIN,3.6,Q2
1948-0881,Journal of the Indian Ocean Region,ROUTLEDGE JOURNALS,1.3,Q1
1948-1985,Asian American Journal of Psychology,EDUCATIONAL PUBLISH,2.8,Q1
1948-4682,World Medical & Health Policy,WILEY,1.3,Q4
1948-5085,Journal of Thermal Science and Engineering Ap,ASME,1.4,Q3
1948-5182,World Journal of Hepatology,BAISHIDENG PUBLISHIN,2.5,Q2
1948-5190,World Journal of Gastrointestinal Endoscopy,BAISHIDENG PUBLISHIN,1.8,Q3
1948-5204,World Journal of Gastrointestinal Oncology,BAISHIDENG PUBLISHIN,2.5,Q2
1948-5506,Social Psychological and Personality Science,SAGE PUBLICATIONS IN,3.3,Q1
1948-5565,Biodemography and Social Biology,ROUTLEDGE JOURNALS,1,Q3
1948-5875,ACS Medicinal Chemistry Letters,AMER CHEMICAL SOC,4,Q2
1948-6596,Frontiers of Biogeography,PENSOFT PUBLISHERS,2.5,Q2
1948-660X,Journal of Spatial Information Science,UNIV MAINE,0.6,Q3
1948-7185,Journal of Physical Chemistry Letters,AMER CHEMICAL SOC,4.6,Q1
1948-7193,ACS Chemical Neuroscience,AMER CHEMICAL SOC,3.9,Q2
1948-8327,Weather Climate and Society,AMER METEOROLOGIC,1.9,Q3
1948-9366,World Journal of Gastrointestinal Surgery,BAISHIDENG PUBLISHIN,1.7,Q2
1949-0976,Gut Microbes,TAYLOR & FRANCIS INC,11,Q1
1949-1034,Nucleus,TAYLOR & FRANCIS INC,4.5,Q2
1949-1190,Journal of Pipeline Systems Engineering and Pr,ASCE-AMER SOC CIVIL,1.7,Q3
1949-1247,International Journal of Housing Policy,ROUTLEDGE JOURNALS,2.6,Q2
1949-2006,Journal of Singularities,WORLDWIDE CENTER,0.6,Q3
1949-260X,Journal of Technology and Chinese Language T,JOURNAL TECHNOLOG,0.3,Q4
1949-2715,Personality Disorders-Theory Research and Tre,EDUCATIONAL PUBLISH,4.2,Q1
1949-3029,IEEE Transactions on Sustainable Energy,IEEE-INST ELECTRICAL E,10,Q1
1949-3045,IEEE Transactions on Affective Computing,IEEE-INST ELECTRICAL E,9.8,Q1
1949-3053,IEEE Transactions on Smart Grid,IEEE-INST ELECTRICAL E,9.8,Q1
1949-307X,IEEE Magnetics Letters,IEEE-INST ELECTRICAL E,1.4,Q4
1949-3584,Cytoskeleton,WILEY,1.6,Q4
1949-8241,Technology and Innovation,NATL ACAD INVENTOR,0.6,Q3
1949-8462,World Journal of Cardiology,BAISHIDENG PUBLISHIN,2.8,Q2
1949-8470,World Journal of Radiology,BAISHIDENG PUBLISHIN,1.5,Q3
1949-8519,Forum for World Literature Studies,KNOWLEDGE HUB PUB,0.2,
1951-6169,E-Spania-Revue Electronique d etudes Hispaniq,UNIV PARIS IV-PARIS-S,0.1,
1951-6207,Revue Archeologique du Centre de la France,FED EDITION REVUE AR,0.1,
1951-6789,Memoires Identites Marginalites dans le Mond,UNIV POITIERS,<0.1,Q4
1954-4863,Territoire en Mouvement,UNIV LILLE I SCI & TECH,0.1,Q4
1955-2513,International Journal of Interactive Design and,SPRINGER HEIDELBERG,2.5,Q3
1957-7761,Cahiers de Civilisation Espagnole Contemporai,UNIV PARIS X-PARIS-NA,0.1,Q3
1958-5322,CogniTextes,ASSOC FRANCAISE LING,<0.1,Q4
1958-5500,Espace Politique,UNIV REIMS CHAMPAG,0.3,Q4
1958-573X,Physio-Geo,REVUES ORG,0.4,Q4
1958-9212,Confins-Revue Franco-Bresilienne de Geograph,REVUES ORG,0.1,Q4
1958-9271,Bulletin du Centre de Recherche du Chateau de,CENTRE RECHERCHE CH,0.1,Q3
1959-0318,IRBM,ELSEVIER SCIENCE INC,4.2,Q2
1960-1360,ArcheoSciences-Revue d Archeometrie,PRESSES UNIV RENNES,0.2,Q4
1960-6206,International Journal of Material Forming,SPRINGER FRANCE,2.6,Q2
1961-9502,Knowledge and Management of Aquatic Ecosy,EDP SCIENCES S A,1.7,Q2
1962-4271,REVUE DES MUSEES DE FRANCE-REVUE DU LO,CONSEIL MUSEES NATI,<0.1,
1964-8189,European Journal of Environmental and Civil En,TAYLOR & FRANCIS LTD,2.3,Q2
1965-0175,Water Alternatives-An Interdisciplinary Journal,WATER ALTERNATIVES,3.6,Q2
1970-0164,Esercizi Filosofici,"UNIV STUDI TRIESTE, D",0.1,
1970-321X,Neuropsychological Trends,LED EDIZIONI UNIV,1.1,Q4
1970-4879,Studia et Documenta,IST STORICO SAN JOSE,0.2,
1970-5565,Oncology Reviews,FRONTIERS MEDIA SA,5.2,Q1
1970-9889,TeMA-Journal of Land Use Mobility and Enviro,UNIV STUDI NAPOLI FE,,
1971-1093,History of Education & Childrens Literature,EDIZIONI UNIVERSITA,0.1,Q3
1971-3495,Journal of Ultrasound,SPRINGER INT PUBL AG,1.4,Q3
1971-6052,Galilaeana-Studies in Renaissance and Early Mo,MUSEO GALILEO-INSTI,0.3,Q4
1971-7105,Diritti Umani e Diritto Internazionale,SOC ED IL MULINO,0.1,Q4
1971-906X,Letteratura e Letterature,FABRIZIO SERRA EDITO,<0.1,
1972-2680,Journal of Infection in Developing Countries,J INFECTION DEVELOPI,1.2,Q4
1972-473X,Studi Pasoliniani-Rivista Internazionale,FABRIZIO SERRA EDITO,<0.1,
1973-3739,Global Environment,WHITE HORSE PRESS,0.4,Q2
1973-3909,Review of Economic Analysis,DIGITAL INITIATIVES UN,0.5,Q4
1973-4832,Clinical Management Issues,SEED MEDICAL PUBLIS,<0.1,Q4
1973-5030,ANTIQVORVM PHILOSOPHIA-An International j,FABRIZIO SERRA EDITO,<0.1,Q4
1973-9087,European Journal of Physical and Rehabilitatio,EDIZIONI MINERVA ME,3.4,Q1
1974-0042,Musica Tecnologia,FIRENZE UNIV PRESS,<0.1,
1974-4951,Conservation Science in Cultural Heritage,MIMESIS EDIZIONI,0.3,
1974-6849,TRIA-Territorio della Ricerca su Insediamenti e,EDIZIONI SCIENTIFICHE,0.2,Q4
1974-7071,Journal of Agricultural Engineering,PAGEPRESS PUBL,2.5,Q2
1975-0102,Journal of Electrical Engineering & Technology,SPRINGER SINGAPORE,1.6,Q3
1975-5171,Anesthesia and Pain Medicine,KOREAN SOC ANESTHE,3.2,Q1
1975-5937,Journal of Educational Evaluation for Health Pr,KOREA HEALTH PERSO,3.7,Q1
1975-8375,Journal of Preventive Medicine & Public Health,Korean Soc Preventive,2.1,Q2
1975-8456,Journal of the Korean Medical Association,KOREAN MEDICAL ASS,0.5,Q3
1975-9479,Journal of Crop Science and Biotechnology,SPRINGERNATURE,1.5,Q3
1976-0280,BioChip Journal,KOREAN BIOCHIP SOCI,6.1,Q1
1976-0485,International Journal of Concrete Structures an,SPRINGER,3.6,Q2
1976-1317,Asian Nursing Research,ELSEVIER SCIENCE INC,2.3,Q1
1976-1457,Nutrition Research and Practice,KOREAN NUTRITION SO,1.5,Q4
1976-1597,Asian Journal of Technology Innovation,ROUTLEDGE JOURNALS,1.7,Q2
1976-2283,Gut and Liver,EDITORIAL OFFICE GUT,3.2,Q2
1976-4251,Carbon Letters,SPRINGER JAPAN KK,5.8,Q1
1976-5681,International Journal of Child Care and Educati,SPRINGER,1.8,Q2
1976-6912,Asian Journal of Atmospheric Environment,SPRINGERNATURE,1.8,Q4
1976-7633,Asia-Pacific Journal of Atmospheric Sciences,KOREAN METEOROLOG,2.3,Q3
1976-8257,Toxicological Research,KOREAN SOC TOXICOL,2.3,Q3
1976-8354,Animal Cells and Systems,TAYLOR & FRANCIS LTD,3.2,Q1
1976-8605,Korean Journal of Mathematics,KANGWON-KYUNGKI M,0.5,Q3
1976-8710,Clinical and Experimental Otorhinolaryngology,KOREAN SOC OTORHIN,3.4,Q1
1976-913X,Journal of Information Processing Systems,Korea Information Proc,0.5,Q4
1976-9148,Biomolecules & Therapeutics,KOREAN SOC APPLIED,3.2,Q2
1976-9229,Journal of East Asia and International Law,YIJUN INST INT LAW,0.2,Q3
1976-9571,Genes & Genomics,SPRINGER,1.7,Q3
1978-1059,Jurnal Gizi dan Pangan,BOGOR AGRICULTURAL,0.3,Q4
1978-2993,Bulletin of Chemical Reaction Engineering and,UNIV DIPONEGORO,1.3,Q4
1979-3561,Operations and Supply Chain Management-An,OSCM FORUM,1.8,Q3
1979-8903,REGISTER Journal,Univ Islam Negeri Salat,0.6,Q3
1980-0436,ALEA-Latin American Journal of Probability and,IMPA,0.6,Q4
1980-3087,Revista Academica da Faculdade de Direito do,UNIV FED PERNAMBUC,<0.1,Q4
1980-5160,Sistemas & Gestao,UNIV FEDERAL FLUMIN,0.1,Q4
1980-5772,Revista Acta Geografica,UNIV FEDERAL RORAIM,<0.1,Q4
1980-6493,Revista Critica Cultural,UNIV SUL SANTA CATA,<0.1,
1981-1160,Revista Brasileira de Ciencias Agrarias-Agraria,UNIV FEDERAL RURAL P,0.3,Q4
1981-2965,Brazilian Journal of Hygiene and Animal Sanity,"UNIV FEDERAL CEARA,",<0.1,Q4
1981-3163,Bioscience Journal,UNIV FEDERAL UBERLA,0.6,Q3
1981-9927,RBNE-Revista Brasileira de Nutricao Esportiva,INST BRASILEIRO PESQ,0.2,Q4
1982-1956,Atelie Geografico,"UNIV FED GOIAS, INST",0.2,Q4
1982-3053,Arquivo Maaravi-Revista Digital de Estudos Jud,UNIV FEDERAL MINAS,<0.1,
1982-6907,Sao Paulo Journal of Mathematical Sciences,SPRINGER INT PUBL AG,0.6,Q3
1983-201X,Anos 90,UNIV FEDERAL RIO GRA,<0.1,Q4
1983-2052,Tropical Plant Pathology,SPRINGER,1.5,Q3
1983-2664,Revista Educaonline,UNIV FEDERAL RIO DE J,0.1,Q4
1983-4527,Revista Pos Ciencias Sociais,UNIV FEDERAL MARAN,<0.1,Q4
1983-5213,Revista Ibero-Americana de Ciencia da Informa,"UNIV BRASILIA, DEPT C",0.1,Q4
1983-6635,Revista Gestao Organizacional,UNIV COMUNITARIA RE,0.2,Q4
1983-8018,Revista de Letras Norte@mentos,UNIV ESTADO MATO G,<0.1,
1983-9928,Historia da Historiografia,UNIV FEDERAL OURO P,0.1,Q3
1984-0659,Sleep Science,THIEME MEDICAL PUBL,1.8,Q3
1984-249X,Archai-Revista de Estudos Sobre as Origens do,UNIV BRASILIA,<0.1,
